epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5584,1.43231,2.20277,1.44247,0.96058,0.18326,0.4511,0.25534,1.36355,2.49669,1.43686,0.000364455,0.000364455,0.000364455
2,23.8455,1.39274,1.42269,1.38094,0.75799,0.52537,0.57851,0.3209,1.46833,1.45077,1.50945,0.000662044,0.000662044,0.000662044
3,34.1094,1.37382,1.30519,1.35722,0.78868,0.59089,0.67016,0.34734,1.50891,1.24673,1.51298,0.000886308,0.000886308,0.000886308
4,44.3356,1.36436,1.19799,1.33483,0.82546,0.60464,0.71965,0.38282,1.43047,1.09701,1.49139,0.000781033,0.000781033,0.000781033
5,54.6402,1.32372,1.12445,1.30412,0.81326,0.67602,0.73387,0.38151,1.39006,1.08001,1.42483,0.000671044,0.000671044,0.000671044
6,64.9758,1.30626,1.06647,1.27812,0.69956,0.82818,0.83437,0.46629,1.38926,0.93952,1.39892,0.000561055,0.000561055,0.000561055
7,75.3325,1.27839,0.9989,1.26632,0.834,0.69723,0.79211,0.42927,1.43857,0.90726,1.45576,0.000451066,0.000451066,0.000451066
8,85.6574,1.2501,0.9508,1.24916,0.78016,0.76258,0.84017,0.46088,1.36805,0.85958,1.40391,0.000341077,0.000341077,0.000341077
9,95.9588,1.20398,0.89731,1.22172,0.76037,0.77568,0.85547,0.46775,1.36103,0.82236,1.40979,0.000231088,0.000231088,0.000231088
10,106.381,1.18335,0.86972,1.2087,0.86472,0.8261,0.87678,0.48173,1.32557,0.78452,1.37194,0.000121099,0.000121099,0.000121099
